"","sample","phase","tab","rep","nominal_time","dw_g","time_h","Cd111_ppb","Cd114_ppb","Cu63_ppb","Cu65_ppb","Ni60_ppb","Ni62_ppb","clear"
"135","ref_4d_1_1","ref","2",1,"24h",0.0975,NA,0.633271094068017,5.5440632102147,5.36502200710239,16.8113361535804,1.51109314323042,10.0600342937737,0
"136","ref_4d_1_2","ref","2",1,"24h",0.0918,NA,0.705075578238752,5.64792669109041,4.43850948463847,14.3067483161278,2.43762873994642,9.89107288506067,0
"137","ref_4d_2_1","ref","2",1,"24h",0.0941,NA,0.862500825072816,5.88101332048823,8.47358941619652,40.9406619043098,2.25509699472734,14.2869619879454,0
"138","ref_4d_2_2","ref","2",2,"24h",0.0773,NA,0.510023078156444,5.11401290137016,5.23834140695563,16.500442751304,4.8394328350268,15.9487472907646,0
"139","ref_4d_2_3","ref","2",2,"24h",0.0686,NA,0.522684857858804,8.03921331885728,6.04707316073815,31.1790610726342,3.1053765061571,21.9902146864918,0
"140","ref_4d_3_1","ref","2",3,"24h",0.0914,NA,0.653354782374974,5.75143384769089,5.40093776707631,16.8537507196602,2.99214926267855,12.2882371237535,0
"141","ref_4d_3_2","ref","2",3,"24h",0.0829,NA,0.556724075694224,4.29357287802086,5.13887199912971,17.8913092756475,3.33009643007157,10.5694692675173,0
"142","ref_4d_3_3","ref","2",3,"24h",0.0451,NA,0.658574026030852,9.35410407280617,8.14201413765754,43.9345200083364,2.46068259345035,27.5299267158982,0
"143","Bioa_labeling_4d_1_1","Bioa","2",1,"24h",0.0765,24.1833333333333,0.385857804511792,3.19658939744495,7.28668287833516,24.1432913313551,2.66625605291292,13.0216340737556,0
"144","Bioa_labeling_4d_1_2","Bioa","2",1,"24h",0.0759,24.1833333333333,0.602382534309034,6.87880420842085,7.76537846671819,43.0021025157456,3.44357519045999,22.1994037544707,0
"145","Bioa_labeling_4d_1_3","Bioa","2",1,"24h",0.1342,24.1833333333333,0.686677165141155,6.60020869844756,4.84800127996889,13.2929798565008,3.32845952226429,15.4058094638743,0
"146","Bioa_labeling_4d_1_4","Bioa","2",1,"24h",0.0791,24.1833333333333,0.675600692860691,9.78041599699503,10.4561841353299,58.2766086873434,6.35894568577274,40.1677722176629,0
"147","Bioa_labeling_4d_2_1","Bioa","2",2,"24h",0.1228,24.1833333333333,0.648370731835879,5.39694466022036,7.03608199158117,25.7804464726224,4.10723891924778,17.2264119908175,0
"148","Bioa_labeling_4d_2_2","Bioa","2",2,"24h",0.0814,24.1833333333333,0.881509747859302,8.62218345530681,8.75341869728334,46.5501391423556,4.22525703595904,23.3795974898133,0
"149","Bioa_labeling_4d_2_3","Bioa","2",2,"24h",0.0522,24.1833333333333,0.663539749932077,8.1115719508895,7.78608262339647,39.3991992295228,5.00295499327435,29.8364483279065,0
"150","Bioa_labeling_4d_2_4","Bioa","2",2,"24h",0.0633,24.1833333333333,0.731460637359191,6.03375696888023,6.81725136074459,24.3869463136977,4.65538136736998,18.8049078120868,0
"151","Bioa_labeling_4d_3_1","Bioa","2",3,"24h",0.0736,24.35,0.874551551458074,6.8772388721967,34.330219076419,55.2695422868235,3.73531801740632,18.3589793165927,0
"152","Bioa_labeling_4d_3_2","Bioa","2",3,"24h",0.0808,24.35,0.888489686873105,6.5355338837577,5.48346411477485,17.1115460231838,4.72395393750246,14.4760844561206,0
"153","Bioa_labeling_4d_3_3","Bioa","2",3,"24h",0.0705,24.35,0.584869832892391,7.40934484392502,7.15091305259693,36.2413064834568,4.01509637196067,24.7731560050782,0
